220408-00:00:26 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:26 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:26 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:32 [INFO] -- Poll: TimesUp 12342 0
220408-00:00:32 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:32 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:32 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:32 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:32 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:38 [INFO] -- Poll: TimesUp 79036 0
220408-00:00:38 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:38 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:38 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:44 [INFO] -- Poll: TimesUp 86865 0
220408-00:00:44 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:44 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:44 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:50 [INFO] -- Poll: TimesUp 86125 0
220408-00:00:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:50 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:50 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:56 [INFO] -- Poll: TimesUp 36787 0
220408-00:00:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:56 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:02 [INFO] -- Poll: TimesUp 54681 0
220408-00:01:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:08 [INFO] -- Poll: TimesUp 59867 0
220408-00:01:08 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:08 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:08 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:08 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:08 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:14 [INFO] -- Poll: TimesUp 61167 0
220408-00:01:14 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:14 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:14 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:14 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:14 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:20 [INFO] -- Poll: TimesUp 63021 0
220408-00:01:20 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:20 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:20 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:20 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:20 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:26 [INFO] -- Poll: TimesUp 82170 0
220408-00:01:26 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:26 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:26 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:26 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:26 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:32 [INFO] -- Poll: TimesUp 45864 0
220408-00:01:32 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:32 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:32 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:32 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:32 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:38 [INFO] -- Poll: TimesUp 12980 0
220408-00:01:38 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:38 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:38 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:44 [INFO] -- Poll: TimesUp 82750 0
220408-00:01:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:44 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:44 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:44 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:50 [INFO] -- Poll: TimesUp 27051 0
220408-00:01:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:01:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:50 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:50 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:01:56 [INFO] -- Poll: TimesUp 67909 0
220408-00:01:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:01:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
